metric,value
yield,-0.09897146638235843
base_yield,-0.0665316243953572
excess_yield,-0.030142875259953295
vol,0.22510726291112038
sharpe,-0.43966358571662595
te,0.07454262800244356
ir,-0.40437097628172153
maxdd,0.11040282281777458
Max Drawdown Start,2022-01-07 00:00:00
Max Drawdown End,2022-04-01 00:00:00
maxdd2,0.05414237312219994
Second Drawdown Start,2023-01-13 00:00:00
Second Drawdown End,2023-10-13 00:00:00
monthly_winrate,0.5833333333333334
turnover,11.44265306122449
cost,0.0013372727272727273
