metric,value
yield,-0.11639080296563875
base_yield,-0.0665316243953572
excess_yield,-0.04873554625244314
vol,0.22653244558669777
sharpe,-0.5137930801223529
te,0.07515120581661665
ir,-0.6484998573591383
maxdd,0.12285385076124256
Max Drawdown Start,2022-01-07 00:00:00
Max Drawdown End,2023-10-13 00:00:00
maxdd2,0.00446288245622839
Second Drawdown Start,2023-12-08 00:00:00
Second Drawdown End,2023-12-15 00:00:00
monthly_winrate,0.4166666666666667
turnover,9.312244897959184
cost,0.001093939393939394
