metric,value
yield,-0.09068335313202947
base_yield,-0.0665316243953572
excess_yield,-0.02229499558480974
vol,0.21336722067159464
sharpe,-0.4250107061740531
te,0.05339866477632416
ir,-0.41751972035628254
maxdd,0.10235177457520717
Max Drawdown Start,2022-10-28 00:00:00
Max Drawdown End,2023-10-13 00:00:00
maxdd2,0.05629711698242157
Second Drawdown Start,2022-03-11 00:00:00
Second Drawdown End,2022-04-15 00:00:00
monthly_winrate,0.4583333333333333
turnover,11.413469387755104
cost,0.0013339393939393938
