epoch,train_loss,val_loss,model_name,hidden_size,window_id
1,0.00402684720470997,0.004466342758348196,biagru_gp1_train_raw,32,1
2,0.0038216207852570837,0.004413858584828768,biagru_gp1_train_raw,32,1
3,0.003795073254925593,0.004371160167825071,biagru_gp1_train_raw,32,1
4,0.0037743971199122577,0.004363761803902248,biagru_gp1_train_raw,32,1
5,0.0037501560208666254,0.004350944584579903,biagru_gp1_train_raw,32,1
6,0.0037216302133256805,0.004358473415349555,biagru_gp1_train_raw,32,1
7,0.0036855255187271513,0.004360075567031138,biagru_gp1_train_raw,32,1
1,0.0039782021494631096,0.004364746524424081,biagru_gp1_train_raw,64,1
2,0.0038094734279926885,0.004359695054258087,biagru_gp1_train_raw,64,1
3,0.0037745577814443827,0.004330786060494911,biagru_gp1_train_raw,64,1
4,0.0037242963141965067,0.004334924298440333,biagru_gp1_train_raw,64,1
5,0.003670035057582213,0.004356656591368823,biagru_gp1_train_raw,64,1
1,0.004458510083832631,0.0035908668363891258,biagru_gp1_train_raw,32,2
2,0.004332664080062195,0.0036247732925311295,biagru_gp1_train_raw,32,2
3,0.004319764511831301,0.003612250540570556,biagru_gp1_train_raw,32,2
1,0.004449608181603253,0.0036108874168663523,biagru_gp1_train_raw,64,2
2,0.0043326824680460915,0.003634516784885922,biagru_gp1_train_raw,64,2
3,0.004317168102256561,0.0036228243693835122,biagru_gp1_train_raw,64,2
