epoch,train_loss,val_loss,model_name,hidden_size,window_id
1,0.9685582320112328,0.9721619404163682,biagru_gp2_cross_ind,32,1
2,0.9674636057891179,0.9723639172666213,biagru_gp2_cross_ind,32,1
3,0.9669160035369698,0.9725797664718467,biagru_gp2_cross_ind,32,1
1,0.9685158381425658,0.972742959856987,biagru_gp2_cross_ind,64,1
2,0.9670892880342933,0.9730245504810029,biagru_gp2_cross_ind,64,1
3,0.966361176076154,0.9732991595979498,biagru_gp2_cross_ind,64,1
1,0.9706331551074981,0.966721272041023,biagru_gp2_cross_ind,32,2
2,0.9697771707334016,0.9664583489110198,biagru_gp2_cross_ind,32,2
3,0.9693534667868363,0.9661391250443357,biagru_gp2_cross_ind,32,2
4,0.9689015696236962,0.9659853048213927,biagru_gp2_cross_ind,32,2
5,0.968499750024394,0.9658875806170677,biagru_gp2_cross_ind,32,2
6,0.9681172816690645,0.9658908973514783,biagru_gp2_cross_ind,32,2
7,0.9677708050138072,0.965830762175065,biagru_gp2_cross_ind,32,2
8,0.9673842613320601,0.9657846871559127,biagru_gp2_cross_ind,32,2
9,0.9668552869244625,0.9657061225754299,biagru_gp2_cross_ind,32,2
10,0.9664478392977464,0.9657528268385537,biagru_gp2_cross_ind,32,2
11,0.9658572441025784,0.965804792531935,biagru_gp2_cross_ind,32,2
1,0.9706282637621227,0.9669495603454767,biagru_gp2_cross_ind,64,2
2,0.9697326257354335,0.9667366855003663,biagru_gp2_cross_ind,64,2
3,0.9692021665761346,0.9665604116795938,biagru_gp2_cross_ind,64,2
4,0.9687284379256399,0.966654495850897,biagru_gp2_cross_ind,64,2
5,0.9682851194080554,0.9667619613907005,biagru_gp2_cross_ind,64,2
