epoch,train_loss,val_loss,model_name,hidden_size,window_id
1,0.9681550147231489,0.9724527124096366,gru_gp1_cross_ind,32,1
2,0.9670035930179612,0.9723026539598193,gru_gp1_cross_ind,32,1
3,0.9664929005516668,0.9722942394368789,gru_gp1_cross_ind,32,1
4,0.9661195130782877,0.9723523758790072,gru_gp1_cross_ind,32,1
5,0.9658066771241255,0.9724826752638617,gru_gp1_cross_ind,32,1
6,0.9655291238661416,0.9725410106803188,gru_gp1_cross_ind,32,1
7,0.9652771982303353,0.9726777231993795,gru_gp1_cross_ind,32,1
8,0.9650561420417769,0.9727246862750093,gru_gp1_cross_ind,32,1
1,0.9676817510455977,0.9730519994216806,gru_gp1_cross_ind,64,1
2,0.9666226696889993,0.9729499759293404,gru_gp1_cross_ind,64,1
3,0.9663107620316301,0.9728288918483157,gru_gp1_cross_ind,64,1
4,0.9658318414763593,0.972837563197152,gru_gp1_cross_ind,64,1
5,0.9654995586934568,0.9730555728203109,gru_gp1_cross_ind,64,1
6,0.965181100967149,0.9731540002492296,gru_gp1_cross_ind,64,1
7,0.9647493912598452,0.9733205998645109,gru_gp1_cross_ind,64,1
8,0.9644382188674144,0.9734624361290651,gru_gp1_cross_ind,64,1
1,0.9706825369282772,0.9664443400590229,gru_gp1_cross_ind,32,2
2,0.9693524769732826,0.9660855939116659,gru_gp1_cross_ind,32,2
3,0.9690200011040035,0.9659896196192327,gru_gp1_cross_ind,32,2
4,0.9687685951433683,0.9659297825917916,gru_gp1_cross_ind,32,2
5,0.9685252561694697,0.9658753943594196,gru_gp1_cross_ind,32,2
6,0.9684283008700922,0.9658684253944123,gru_gp1_cross_ind,32,2
7,0.9682025428194748,0.9658491901959045,gru_gp1_cross_ind,32,2
8,0.9680623581848646,0.9658473292483559,gru_gp1_cross_ind,32,2
9,0.9678505040469922,0.9658462828976192,gru_gp1_cross_ind,32,2
10,0.9675561398895163,0.965911543318994,gru_gp1_cross_ind,32,2
11,0.9673901144454353,0.9658772247501567,gru_gp1_cross_ind,32,2
12,0.9671888862158122,0.9659245857961067,gru_gp1_cross_ind,32,2
13,0.9669887004400555,0.9660036146389281,gru_gp1_cross_ind,32,2
14,0.9666669392585754,0.9660163286617537,gru_gp1_cross_ind,32,2
1,0.9702309975498601,0.9660831614385678,gru_gp1_cross_ind,64,2
2,0.9692755971456829,0.9658717230150972,gru_gp1_cross_ind,64,2
3,0.9688636238324014,0.9657247780747554,gru_gp1_cross_ind,64,2
4,0.9685800656519438,0.9656117211414289,gru_gp1_cross_ind,64,2
5,0.9682640722864553,0.965550688625891,gru_gp1_cross_ind,64,2
6,0.9680810835800673,0.9655769528970437,gru_gp1_cross_ind,64,2
7,0.9677998705286729,0.9655465302588064,gru_gp1_cross_ind,64,2
8,0.9674156369347321,0.9655828919843279,gru_gp1_cross_ind,64,2
9,0.9670644267609245,0.9655975481880366,gru_gp1_cross_ind,64,2
10,0.9668157468344036,0.9656803557641396,gru_gp1_cross_ind,64,2
11,0.9663538859392468,0.965689518154925,gru_gp1_cross_ind,64,2
12,0.9659815036623102,0.9657741712115485,gru_gp1_cross_ind,64,2
