metric,value
yield,-0.04008968437182614
base_yield,-0.0665316243953572
excess_yield,0.0317433325048595
vol,0.21235179100433477
sharpe,-0.1887890098888207
te,0.054698670246064854
ir,0.5803309726189037
maxdd,0.07117225588385334
Max Drawdown Start,2022-11-11 00:00:00
Max Drawdown End,2023-10-13 00:00:00
maxdd2,0.029367583531409003
Second Drawdown Start,2022-03-11 00:00:00
Second Drawdown End,2022-04-01 00:00:00
monthly_winrate,0.5416666666666666
turnover,5.199999999999999
cost,0.0006242424242424243
