metric,value
yield,-0.10650912411955671
base_yield,-0.0665316243953572
excess_yield,-0.04055735099399882
vol,0.2128700643048524
sharpe,-0.5003480619380299
te,0.061812677801154986
ir,-0.6561332146856287
maxdd,0.08188391917781657
Max Drawdown Start,2022-06-24 00:00:00
Max Drawdown End,2023-12-01 00:00:00
maxdd2,0.07051596088970302
Second Drawdown Start,2022-01-21 00:00:00
Second Drawdown End,2022-04-01 00:00:00
monthly_winrate,0.4583333333333333
turnover,5.199999999999999
cost,0.0006242424242424243
