metric,value
yield,-0.1231238708893353
base_yield,-0.0665316243953572
excess_yield,-0.05773768106533017
vol,0.22194834504529196
sharpe,-0.5547411081808696
te,0.07765238958883612
ir,-0.7435403001896926
maxdd,0.1114867169662237
Max Drawdown Start,2022-01-07 00:00:00
Max Drawdown End,2023-12-01 00:00:00
maxdd2,0.0003193543745617644
Second Drawdown Start,2023-12-08 00:00:00
Second Drawdown End,2023-12-15 00:00:00
monthly_winrate,0.4583333333333333
turnover,5.1814285714285715
cost,0.0006221212121212122
