metric,value
yield,-0.11282872466209737
base_yield,-0.0665316243953572
excess_yield,-0.045580876206839926
vol,0.22855208078035102
sharpe,-0.4936674576615687
te,0.08381023519927762
ir,-0.5438581111061337
maxdd,0.10556108825160804
Max Drawdown Start,2022-07-29 00:00:00
Max Drawdown End,2023-12-08 00:00:00
maxdd2,0.09618268597880864
Second Drawdown Start,2022-01-07 00:00:00
Second Drawdown End,2022-04-01 00:00:00
monthly_winrate,0.5416666666666666
turnover,5.136326530612244
cost,0.000616969696969697
