metric,value
yield,-0.119239239639363
base_yield,-0.0665316243953572
excess_yield,-0.054196989450420285
vol,0.2154953600336423
sharpe,-0.5533262508331865
te,0.06764579494329609
ir,-0.8011878564787475
maxdd,0.11643354293601182
Max Drawdown Start,2022-06-24 00:00:00
Max Drawdown End,2023-08-18 00:00:00
maxdd2,0.07985978755581702
Second Drawdown Start,2022-01-07 00:00:00
Second Drawdown End,2022-04-01 00:00:00
monthly_winrate,0.4166666666666667
turnover,5.199999999999999
cost,0.0006242424242424243
