metric,value
yield,-0.08997287017812916
base_yield,-0.0665316243953572
excess_yield,-0.02351043116913054
vol,0.2060408984384873
sharpe,-0.436674810001327
te,0.05159663685368712
ir,-0.4556582095805819
maxdd,0.06209059325872157
Max Drawdown Start,2022-01-14 00:00:00
Max Drawdown End,2022-04-01 00:00:00
maxdd2,0.05899350076058285
Second Drawdown Start,2022-06-24 00:00:00
Second Drawdown End,2023-10-13 00:00:00
monthly_winrate,0.4583333333333333
turnover,5.199999999999999
cost,0.0006242424242424243
