metric,value
yield,-0.13297963319380546
base_yield,-0.0665316243953572
excess_yield,-0.06982322301919508
vol,0.20482189308392587
sharpe,-0.6492452110054319
te,0.04329707847538281
ir,-1.6126543747956135
maxdd,0.15477490631605018
Max Drawdown Start,2022-07-01 00:00:00
Max Drawdown End,2023-12-08 00:00:00
maxdd2,0.025520534443292386
Second Drawdown Start,2022-01-07 00:00:00
Second Drawdown End,2022-04-15 00:00:00
monthly_winrate,0.4166666666666667
turnover,5.199999999999999
cost,0.0006242424242424243
