metric,value
yield,-0.09528383067986002
base_yield,-0.0665316243953572
excess_yield,-0.028040838509989507
vol,0.21726643548377236
sharpe,-0.43855752715645197
te,0.07013913275094515
ir,-0.39978878281199803
maxdd,0.09768860041252536
Max Drawdown Start,2022-01-14 00:00:00
Max Drawdown End,2022-04-01 00:00:00
maxdd2,0.051907550910668454
Second Drawdown Start,2023-01-13 00:00:00
Second Drawdown End,2023-11-10 00:00:00
monthly_winrate,0.4583333333333333
turnover,5.199999999999999
cost,0.0006242424242424243
