metric,value
yield,-0.00738553291323607
base_yield,-0.0665316243953572
excess_yield,0.06620450473505612
vol,0.2054905641562241
sharpe,-0.03594098319580855
te,0.04419863130674436
ir,1.4978858570435831
maxdd,0.02618713675301587
Max Drawdown Start,2022-11-11 00:00:00
Max Drawdown End,2023-01-06 00:00:00
maxdd2,0.02141693890011409
Second Drawdown Start,2023-03-24 00:00:00
Second Drawdown End,2023-05-12 00:00:00
monthly_winrate,0.5416666666666666
turnover,5.199999999999999
cost,0.0006242424242424243
