metric,value
yield,-0.10725415756925327
base_yield,-0.0665316243953572
excess_yield,-0.04125423682488538
vol,0.21793737781237554
sharpe,-0.4921329174731534
te,0.07617466473598587
ir,-0.5415742487068191
maxdd,0.09894417703911162
Max Drawdown Start,2022-01-07 00:00:00
Max Drawdown End,2022-04-01 00:00:00
maxdd2,0.0858362021178436
Second Drawdown Start,2023-02-03 00:00:00
Second Drawdown End,2023-12-08 00:00:00
monthly_winrate,0.4166666666666667
turnover,5.199999999999999
cost,0.0006242424242424243
