metric,value
yield,-0.13396843945246673
base_yield,-0.0665316243953572
excess_yield,-0.06900000747818547
vol,0.21392697867182942
sharpe,-0.6262344295432622
te,0.05578508706486915
ir,-1.2368898411496512
maxdd,0.13390798343570853
Max Drawdown Start,2022-01-14 00:00:00
Max Drawdown End,2023-10-13 00:00:00
maxdd2,0.005162584575859497
Second Drawdown Start,2023-11-10 00:00:00
Second Drawdown End,2023-12-15 00:00:00
monthly_winrate,0.3333333333333333
turnover,12.798367346938775
cost,0.0014921212121212122
