metric,value
yield,-0.12150892493585552
base_yield,-0.0665316243953572
excess_yield,-0.05446272046736056
vol,0.22526007692585534
sharpe,-0.5394161566225973
te,0.07457913435870464
ir,-0.7302675330798317
maxdd,0.11349452649306313
Max Drawdown Start,2022-01-07 00:00:00
Max Drawdown End,2023-10-13 00:00:00
maxdd2,0.002697884816156626
Second Drawdown Start,2023-11-10 00:00:00
Second Drawdown End,2023-12-01 00:00:00
monthly_winrate,0.4583333333333333
turnover,14.453877551020408
cost,0.0016812121212121216
