metric,value
yield,-0.1180125443315504
base_yield,-0.0665316243953572
excess_yield,-0.05050396565932758
vol,0.2265184968440206
sharpe,-0.5209841402612396
te,0.07520562290110819
ir,-0.6715450748375276
maxdd,0.12566300469585567
Max Drawdown Start,2022-01-07 00:00:00
Max Drawdown End,2023-10-13 00:00:00
maxdd2,0.00446288245622839
Second Drawdown Start,2023-12-08 00:00:00
Second Drawdown End,2023-12-15 00:00:00
monthly_winrate,0.4166666666666667
turnover,9.492653061224493
cost,0.0011145454545454546
