metric,value
yield,-0.20498767552233632
base_yield,-0.0665316243953572
excess_yield,-0.14556583317305216
vol,0.21937325785904147
sharpe,-0.9344241751382996
te,0.07327246542323046
ir,-1.9866375770522613
maxdd,0.27986656894843964
Max Drawdown Start,2022-07-29 00:00:00
Max Drawdown End,2023-12-08 00:00:00
maxdd2,0.07625878730342806
Second Drawdown Start,2022-01-07 00:00:00
Second Drawdown End,2022-04-15 00:00:00
monthly_winrate,0.3333333333333333
turnover,20.847755102040814
cost,0.0024115151515151515
