metric,value
yield,-0.11276229758376155
base_yield,-0.0665316243953572
excess_yield,-0.048641916764429416
vol,0.19606823125250292
sharpe,-0.5751176356486976
te,0.044108554283888546
ir,-1.1027773989454186
maxdd,0.10704016395999227
Max Drawdown Start,2022-01-21 00:00:00
Max Drawdown End,2023-11-03 00:00:00
maxdd2,0.0003108537734376471
Second Drawdown Start,2022-01-07 00:00:00
Second Drawdown End,2022-01-14 00:00:00
monthly_winrate,0.4583333333333333
turnover,24.830000000000002
cost,0.0028663636363636365
